fuel_type,body_type,kilometer,transmission_type,owner_no,brand,model,model_year,price,registration_year,seats_count,RDO_no,car_engine_cc,mileage,color,gear_box,location,age
Petrol,Sedan,120000,Manual,1,Hyundai,Hyundai Elantra,2013,650000.0,2013,5,KA41,1797,16.3,Others,6,bangalore,10
Diesel,Sedan,59000,Automatic,1,Audi,Audi A6,2015,2089999.9999999998,2016,5,HR26,1968,18.53,White,7,bangalore,7
Petrol,Hatchback,18835,Manual,1,Maruti,Maruti Alto 800,2021,411000.00000000006,2021,5,KA50,796,22.05,Silver,5,bangalore,2
Diesel,SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,650000.0,2010,7,KA19,2179,12.05,Gray,5,bangalore,13
Petrol,Hatchback,40000,Automatic,1,Mini,Mini 3 DOOR,2016,3675000.0,2016,4,KA51,1998,17.33,White,7,bangalore,7
Petrol,Hatchback,60932,Manual,1,Tata,Tata Tiago,2019,610000.0,2019,5,KA03,1199,23.84,Red,5,bangalore,4
Petrol,SUV,33539,Automatic,2,Kia,Kia Seltos,2020,1675000.0,2020,5,KA05,1353,16.5,White,7,bangalore,3
Petrol,Hatchback,66837,Manual,2,Tata,Tata Tiago,2018,530000.0,2018,5,KA05,1199,23.84,Brown,5,bangalore,5
Diesel,Sedan,400,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,7990000.000000001,2022,5,KA53,2925,29.0,White,9,bangalore,1
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Alto,2008,250000.0,2008,5,,796,19.7,Others,5,bangalore,15
Petrol,Hatchback,44285,Manual,1,Hyundai,Hyundai i20,2019,715000.0,2019,5,KA09,1197,18.6,Grey,5,bangalore,4
Diesel,SUV,100000,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,3500000.0,2014,7,PY01,2987,11.3,Others,7,bangalore,9
Diesel,SUV,25000,Automatic,1,Tata,Tata New Safari,2021,2250000.0,2021,6,KA19,1956,14.08,White,6,bangalore,2
Petrol,Hatchback,36735,Manual,1,Hyundai,Hyundai Grand i10,2018,625000.0,2019,5,KA03,1197,18.9,Blue,5,bangalore,4
Diesel,SUV,79000,Automatic,1,Audi,Audi Q7,2015,2695000.0,2015,7,KA51,2967,12.07,White,8,bangalore,8
Diesel,SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,650000.0,2010,8,KA19,2179,12.05,Gray,5,bangalore,13
